Place,Car No.,Team,Team.1,Score
1,27,岐阜大学,Gifu University,75.0
2,2,神戸大学,Kobe University,73.38
3,41,東京大学,The University of Tokyo,71.77
4,14,東京理科大学,Tokyo University of Science,69.35
5,9,大阪大学,Osaka University,68.54
6,5,日本自動車大学校,Nihon Automobile College,66.12
7,8,埼玉大学,Saitama University,64.51
7,15,日本工業大学,Nippon Institute of Technology,64.51
9,19,千葉大学,Chiba University,62.9
10,10,早稲田大学,Waseda University,62.09
11,21,山梨大学,University of Yamanashi,59.67
12,12,京都大学,Kyoto University,58.87
13,35,日本大学理工学部,Nihon University College of science of technology,58.06
14,39,群馬大学,gunma university,57.25
14,E05,東北大学EV,Tohoku UniversityEV,57.25
16,3,茨城大学,Ibaraki University,56.45
16,18,福井大学,University of Fukui,56.45
18,44,大阪工業大学,Osaka Institute of Technology,55.64
19,1,名古屋工業大学,Nagoya Institute of Technology,54.03
19,58,北海道大学,Hokkaido University,54.03
21,E07,神奈川大学EV,KanagawaUniversityEV,53.22
22,37,帝京大学,Teikyo University,52.41
22,57,ホンダテクニカルカレッジ関西,Honda Technical College Kansai,52.41
24,11,京都工芸繊維大学,Kyoto Institute of Technology,51.61
25,17,静岡大学,Shizuoka University,50.8
25,30,新潟大学,Niigata University,50.8
27,E08,一関工業高等専門学校/岩手大学EV,"National Institute of Technology, Ichinoseki College/Iwate UniversityEV",46.77
28,E02,豊橋技術科学大学EV,Toyohashi University of TechnologyEV,44.35
29,31,山陽小野田市立山口東京理科大学,Sanyo-Onoda City University,43.54
29,43,トヨタ名古屋自動車大学校,Toyota Technical College Nagoya,43.54
31,6,立命館大学,Ritsumeikan University,42.74
31,7,上智大学,Sophia University,42.74
31,16,同志社大学,Doshisha University,42.74
31,20,金沢大学,Kanazawa University,42.74
31,23,東京都市大学,Tokyo City University,42.74
31,33,東京農工大学,Tokyo University of Agriculture and Technology,42.74
31,48,九州大学,Kyushu University,42.74
38,36,広島工業大学,Hiroshima Institute of Technology,40.32
38,E01,名古屋大学EV,Nagoya UniversityEV,40.32
38,E04,トヨタ東京自動車大学校EV,TOYOTA TECHNICAL COLLEGE TOKYOEV,40.32
41,25,工学院大学,Kogakuin University,38.7
41,34,九州工業大学,Kyushu Institute of Technology,38.7
43,42,久留米工業大学,Kurume Institute of Technology,37.9
43,46,摂南大学,SETSUNAN UNIVERSITY,37.9
45,13,愛知工業大学,Aichi Institute of Technology,36.29
45,49,大阪府立大学,Osaka Prefecture University,36.29
47,22,名城大学,Meijo University,34.67
47,E11,静岡理工科大学EV,Shizuoka Institute of Science and TechnologyEV,34.67
49,28,静岡工科自動車大学校,Shizuoka Professional College of Automobile Technology,33.06
49,59,専門学校麻生工科自動車大学校,ASO COLLEGE OF AUTOMOTIVE ENGINEERING AND TECHNOLOGY,33.06
49,E03,ものつくり大学EV,Institute of TechnologistsEV,33.06
49,E10,日産京都自動車大学校EV,NISSAN AUTOMOBILE TECHNICAL COLLEGE KYOTOEV,33.06
53,53,明星大学,Meisei University,31.45
54,38,富山大学,University of Toyama,29.03
55,E09,神奈川工科大学EV,Kanagawa Institute of TechnologyEV,28.22
56,61,福井工業大学,Fukui University of Technology,24.19
57,24,大阪産業大学,Osaka Sangyo University,0.0
57,29,鳥取大学,Tottori University,0.0
57,32,金沢工業大学,Kanazawa Institute of Technology,0.0
57,45,崇城大学,Sojo University,0.0
57,E12,東京工科大学EV,Tokyo University of TechnologyEV,0.0
