Place,Car No.,Team,Team.1,D1 Run 1 Time,D1 Run 1 # of Cones,D1 Run 1 Adj.,D1 Run 2 Time,D1 Run 2 # of Cones,D1 Run 2 Adj.,D2 Run 1 Time,D2 Run 1 # of Cones,D2 Run 1 Adj.,D2 Run 2 Time,D2 Run 2 # of Cones,D2 Run 2 Adj.,Viocount,Best Time,Event Score
1,32,Chiba University,千葉大学,4.121,0,4.121,3.995,0,3.995,4.206,0,4.206,4.149,0,4.149,0,3.995,100.0
2,17,Kasetsart University,Kasetsart University,4.220,0,4.22,4.132,0,4.132,4.216,0,4.216,4.012,0,4.012,0,4.012,98.78
3,E02,Tongji UniversityEV,Tongji UniversityEV,4.431,0,4.431,4.499,0,4.499,4.240,0,4.240,4.102,0,4.102,0,4.102,92.52
4,E01,Nagoya UniversityEV,名古屋大学EV,4.138,0,4.138,4.121,0,4.121,,,DNF,,,DNF,0,4.121,91.24
5,E04,National Tsing Hua UniversityEV,National Tsing Hua UniversityEV,4.347,0,4.347,4.592,0,4.592,4.215,0,4.215,4.158,0,4.158,0,4.158,88.76
6,10,Yokohama National University,横浜国立大学,4.331,0,4.331,4.252,0,4.252,4.451,0,4.451,4.328,0,4.328,0,4.252,82.68
7,1,Osaka university,大阪大学,4.434,0,4.434,4.296,0,4.296,4.352,0,4.352,,,DNF,0,4.296,79.92
8,3,Tongji University,Tongji University,4.418,0,4.418,4.305,0,4.305,4.435,0,4.435,4.395,0,4.395,0,4.305,79.36
9,9,Tokyo University of Science,東京理科大学,4.927,0,4.927,6.117,0,6.117,4.431,0,4.431,4.331,0,4.331,0,4.331,77.77
10,27,Prince of Songkla University,Prince of Songkla University,4.574,0,4.574,4.364,0,4.364,,,DNF,,,DNF,0,4.364,75.77
11,6,Tokai university,東海大学,4.523,0,4.523,4.498,0,4.498,4.379,0,4.379,4.398,0,4.398,0,4.379,74.87
12,19,Sanyo-onoda City University,山陽小野田市立山口東京理科大学,4.632,0,4.632,4.793,0,4.793,4.622,0,4.622,4.395,0,4.395,0,4.395,73.92
13,15,Tokyo City Univercity,東京都市大学,4.768,0,4.768,4.970,0,4.970,4.410,0,4.410,4.404,0,4.404,0,4.404,73.39
14,26,Kyoto University,京都大学,4.477,0,4.477,4.502,0,4.502,4.449,0,4.449,4.615,0,4.615,0,4.449,70.76
15,E08,Tohoku UniversityEV,東北大学EV,4.533,0,4.533,4.494,0,4.494,4.557,0,4.557,4.451,0,4.451,0,4.451,70.64
16,23,Nihon Automobile College,日本自動車大学校,4.661,0,4.661,4.586,0,4.586,4.509,0,4.509,4.484,0,4.484,0,4.484,68.75
17,80,Hoseo University,Hoseo University,4.549,0,4.549,4.490,0,4.490,,,DNF,,,DNF,0,4.49,68.41
18,7,Nagoya Institute of Technology,名古屋工業大学,4.523,0,4.523,4.558,0,4.558,4.525,0,4.525,5.318,0,5.318,0,4.523,66.55
19,40,Kanazawa Institute of Technology,金沢工業大学,4.826,0,4.826,4.767,0,4.767,4.525,0,4.525,4.578,0,4.578,0,4.525,66.44
20,8,Kobe University,神戸大学,4.638,0,4.638,6.100,0,6.100,4.718,0,4.718,4.578,0,4.578,0,4.578,63.51
21,34,Saitama University,埼玉大学,4.932,0,4.932,4.792,0,4.792,5.052,0,5.052,4.591,0,4.591,0,4.591,62.8
22,E20,JiLin UniversityEV,JiLin UniversityEV,4.807,0,4.807,5.009,0,5.009,4.621,0,4.621,4.602,0,4.602,0,4.602,62.21
23,2,Kyoto Institute of Technology,京都工芸繊維大学,5.010,0,5.01,4.769,0,4.769,4.657,0,4.657,4.623,0,4.623,0,4.623,61.08
24,35,Gifu University,岐阜大学,4.791,0,4.791,4.665,0,4.665,4.831,0,4.831,4.753,0,4.753,0,4.665,58.85
25,5,Shibaura Institute of Technology,芝浦工業大学,4.848,0,4.848,4.752,0,4.752,4.745,0,4.745,4.677,0,4.677,0,4.677,58.22
26,33,Osaka Institute of Technology,大阪工業大学,4.691,0,4.691,15.597,0,15.597,,,DNF,,,DNF,0,4.691,57.49
