Place,Car No.,Team,Team.1,Score
1,16,日本工業大学,Nippon Institute of Technology,75.0
2,10,横浜国立大学,Yokohama National University,68.75
3,5,芝浦工業大学,Shibaura Institute of Technology,67.96
4,E04,National Tsing Hua UniversityEV,National Tsing Hua UniversityEV,67.18
5,22,Universitas Gadjah Mada,Universitas Gadjah Mada,66.4
6,26,京都大学,Kyoto University,65.62
7,12,静岡大学,Shizuoka University,64.06
8,58,群馬大学,Gunma University,63.28
9,E10,トヨタ東京自動車大学校EV,Toyota Technical College TokyoEV,62.5
10,11,福井大学,University of Fukui,61.71
11,4,名城大学,Meijo University,60.93
11,34,埼玉大学,Saitama University,60.93
11,E24,Universitas Gadjah MadaEV,Universitas Gadjah MadaEV,60.93
14,32,千葉大学,Chiba University,58.59
15,8,神戸大学,Kobe University,57.81
15,E01,名古屋大学EV,Nagoya UniversityEV,57.81
15,E07,神奈川大学EV,Kanagawa UniversityEV,57.81
18,1,大阪大学,Osaka university,57.03
19,7,名古屋工業大学,Nagoya Institute of Technology,55.46
20,14,東京農工大学,Tokyo University of Agriculture and Technology,54.68
20,17,Kasetsart University,Kasetsart University,54.68
22,18,Universitas Negeri Yogyakarta,Universitas Negeri Yogyakarta,53.9
22,45,金沢大学,Kanazawa University,53.9
22,E02,Tongji UniversityEV,Tongji UniversityEV,53.9
25,35,岐阜大学,Gifu University,51.56
25,40,金沢工業大学,Kanazawa Institute of Technology,51.56
25,50,Institut Teknologi Sepuluh Nopember,Institut Teknologi Sepuluh Nopember,51.56
25,61,近畿大学,Kindai university,51.56
29,E03,豊橋技術科学大学EV,Toyohashi University of TechnologyEV,50.0
30,15,東京都市大学,Tokyo City Univercity,49.21
30,20,早稲田大学,Waseda University,49.21
32,24,愛知工業大学,Aichi Institute of Technology,47.65
32,33,大阪工業大学,Osaka Institute of Technology,47.65
34,62,富山大学,University of Toyama,46.87
35,76,National Taipei University of Technology,National Taipei University of Technology,46.09
36,52,日本大学理工学部,"College of Sience and Technology, Nihon University",45.31
37,2,京都工芸繊維大学,Kyoto Institute of Technology,44.53
37,13,茨城大学,Ibaraki University,44.53
37,27,Prince of Songkla University,Prince of Songkla University,44.53
37,E12,INSTITUT TEKNOLOGI SEPULUH NOPEMBEREV,INSTITUT TEKNOLOGI SEPULUH NOPEMBEREV,44.53
41,3,Tongji University,Tongji University,43.75
41,37,岡山大学,Okayama University,43.75
41,41,北九州市立大学,The University of Kitakyushu,43.75
41,54,静岡工科自動車大学校,Shizuoka Professional College Of Automobile Technology,43.75
45,23,日本自動車大学校,Nihon Automobile College,42.18
46,E20,JiLin UniversityEV,JiLin UniversityEV,41.4
47,57,九州大学,Kyushu University,40.62
48,9,東京理科大学,Tokyo University of Science,39.84
49,43,トヨタ名古屋自動車大学校,Toyota Technical College Nagoya,39.06
49,47,同志社大学,doshisha university,39.06
49,56,東京大学,The University of Tokyo,39.06
52,E18,National Cheng Kung University EV,National Cheng Kung University EV,38.28
52,E25,成蹊大学EV,SEIKEI UniversityEV,38.28
54,79,首都大学東京,Tokyo Metropolitan University,37.5
55,80,Hoseo University,Hoseo University,36.71
55,E05,一関工業高等専門学校/岩手大学EV,"National Institute of Technology, Ichinoseki College/Iwate UniversityEV",36.71
55,E16,Rajshahi University of Engineering & TechnologyEV,Rajshahi University of Engineering & TechnologyEV,36.71
58,55,Sebelas Maret University,Sebelas Maret University,35.15
58,70,Hanyang University,Hanyang University,35.15
60,29,山梨大学,University of Yamanashi,34.37
61,6,東海大学,Tokai university,33.59
61,44,新潟大学,Niigata University,33.59
63,38,大阪産業大学,Osaka Sangyo University,32.81
63,75,Harbin Institute of Technology at Weihai,Harbin Institute of Technology at Weihai,32.81
65,31,九州工業大学,Kyushu Institute of Technology,32.03
65,E08,東北大学EV,Tohoku UniversityEV,32.03
67,46,鳥取大学,Tottori University,31.25
68,19,山陽小野田市立山口東京理科大学,Sanyo-onoda City University,30.46
68,53,久留米工業大学,Kurume Institute of Technology,30.46
70,51,摂南大学,Setsunan University,29.68
70,E19,National Taiwan UniversityEV,National Taiwan UniversityEV,29.68
72,59,広島工業大学,Hiroshima Institute of Technology,28.9
72,68,千葉工業大学,Chiba Institute of Technology,28.9
74,30,帝京大学,Teikyo University,28.12
74,E06,トヨタ名古屋自動車大学校EV,Toyota Technical College NagoyaEV,28.12
76,28,上智大学,Sophia University,27.34
77,25,ホンダ学園 ホンダテクニカルカレッジ関東,Honda Gakuen Honda Technical College Kanto,25.78
78,67,崇城大学,Sojo University,25.0
79,39,ものつくり大学,Institute of Technologists,22.65
80,E22,Harbin Institute of Technology at WeihaiEV,Harbin Institute of Technology at WeihaiEV,21.87
81,65,明星大学,Meisei University,21.09
82,21,静岡理工科大学,Shizuoka Institute of Science and Technology,19.53
83,66,工学院大学,Kogakuin University,16.4
84,E26,日産京都自動車大学校EV,Nissan Automobile Technical College KyotoEV,14.84
85,63,大阪府立大学,Osaka Prefecture University,12.5
86,E27,神奈川工科大学,Kanagawa Institute of Technology,9.37
87,49,立命館大学,Ritsumeikan University,0.0
87,69,広島大学,Hiroshima University,0.0
87,E11,Universitas Islam IndonesiaEV,Universitas Islam IndonesiaEV,0.0
87,E21,National Taipei University of TechnologyEV,National Taipei University of TechnologyEV,0.0
