Place,Car No.,Team,Team.1,Run #1 Time,Run #1 # of Cones,Run #1 Off Course/Missed Slalom,Run #1 Adj.,Run #2 Time,Run #2 # of Cones,Run #2 Off Course/Missed Slalom,Run #2 Adj.,Run #3 Time,Run #3 # of Cones,Run #3 Off Course/Missed Slalom,Run #3 Adj.,Run #4 Time,Run #4 # of Cones,Run #4 Off Course/Missed Slalom,Run #4 Adj.,Viocount,Best Time,Event Score
39,37,Okayama University,岡山大学,69.188,0,0,69.188,63.822,0,0,63.822,64.747,1,0,66.747,,,,DNF,0,63.822,77.63
40,47,doshisha university,同志社大学,67.123,2,1,91.123,62.679,1,0,64.679,60.502,2,0,64.502,60.021,2,0,64.021,0,64.021,76.59
41,30,Teikyo University,帝京大学,65.259,1,0,67.259,64.119,0,0,64.119,66.437,0,0,66.437,63.605,1,0,65.605,0,64.119,76.08
42,22,Universitas Gadjah Mada,Universitas Gadjah Mada,64.287,0,0,64.287,66.174,2,0,70.174,70.308,0,0,70.308,,,,DNF,0,64.287,75.21
43,16,Nippon Institute of Technology,日本工業大学,70.653,0,0,70.653,64.633,0,0,64.633,70.104,0,0,70.104,66.509,0,0,66.509,0,64.633,73.43
44,E04,National Tsing Hua UniversityEV,National Tsing Hua UniversityEV,64.664,0,0,64.664,71.443,1,0,73.443,68.518,0,0,68.518,67.086,0,0,67.086,0,64.664,73.27
45,54,Shizuoka Professional College Of Automobile Technology,静岡工科自動車大学校,68.562,0,0,68.562,67.409,0,0,67.409,68.533,1,0,70.533,64.740,0,0,64.740,0,64.740,72.89
46,56,The University of Tokyo,東京大学,62.826,1,0,64.826,66.719,2,1,90.719,,,,DNF,,,,DNF,0,64.826,72.45
47,12,Shizuoka University,静岡大学,128.088,0,0,128.088,64.183,1,1,86.183,66.915,0,0,66.915,62.916,1,0,64.916,0,64.916,71.99
48,24,Aichi Institute of Technology,愛知工業大学,70.912,0,0,70.912,65.462,1,0,67.462,68.020,0,0,68.020,65.362,0,0,65.362,0,65.362,69.75
49,18,Universitas Negeri Yogyakarta,Universitas Negeri Yogyakarta,67.605,0,0,67.605,65.451,0,0,65.451,68.354,0,0,68.354,66.750,0,0,66.750,0,65.451,69.3
50,76,National Taipei University of Technology,National Taipei University of Technology,70.908,1,1,92.908,,,,DNF,70.277,0,0,70.277,65.499,0,0,65.499,0,65.499,69.07
51,66,Kogakuin University,工学院大学,88.536,1,1,110.536,65.662,0,0,65.662,,,,DNF,,,,DNF,0,65.662,68.26
52,59,Hiroshima Institute of Technology,広島工業大学,78.256,0,0,78.256,73.100,0,0,73.100,71.092,0,0,71.092,66.904,0,0,66.904,0,66.904,62.22
53,46,Tottori University,鳥取大学,74.497,0,0,74.497,69.102,0,0,69.102,69.627,0,0,69.627,67.435,0,0,67.435,0,67.435,59.71
54,53,Kurume Institute of Technology,久留米工業大学,67.894,0,0,67.894,67.540,0,0,67.540,70.795,0,0,70.795,70.854,1,0,72.854,0,67.540,59.22
55,41,The University of Kitakyushu,北九州市立大学,79.877,0,0,79.877,71.781,0,0,71.781,71.517,0,0,71.517,67.858,0,0,67.858,0,67.858,57.74
56,27,Prince of Songkla University,Prince of Songkla University,74.207,2,1,98.207,69.026,0,0,69.026,,,,DNF,,,,DNF,0,69.026,52.41
57,35,Gifu University,岐阜大学,68.033,1,0,70.033,90.222,2,0,94.222,72.085,1,0,74.085,69.446,0,0,69.446,0,69.446,50.54
58,55,Sebelas Maret University,Sebelas Maret University,74.104,0,0,74.104,70.368,0,0,70.368,81.719,1,0,83.719,,,,DNF,0,70.368,46.52
59,44,Niigata University,新潟大学,71.880,0,0,71.880,71.020,3,0,77.020,73.699,0,0,73.699,71.021,0,0,71.021,0,71.021,43.73
60,62,University of Toyama,富山大学,71.372,0,0,71.372,104.103,2,0,108.103,77.745,0,1,97.745,71.588,0,0,71.588,0,71.372,42.25
61,39,Institute of Technologists,ものつくり大学,84.333,0,0,84.333,78.740,0,0,78.740,71.618,0,0,71.618,69.123,0,1,89.123,0,71.618,41.22
62,43,Toyota Technical College Nagoya,トヨタ名古屋自動車大学校,72.046,0,0,72.046,81.638,4,1,109.638,,,,DNF,,,,DNF,0,72.046,39.45
63,51,Setsunan University,摂南大学,75.655,0,0,75.655,72.088,0,0,72.088,,,,DNF,,,,DNF,0,72.088,39.28
64,50,Institut Teknologi Sepuluh Nopember,Institut Teknologi Sepuluh Nopember,75.983,0,0,75.983,72.934,0,0,72.934,74.187,0,0,74.187,77.413,0,0,77.413,0,72.934,35.84
65,67,Sojo University,崇城大学,73.167,0,0,73.167,,,,DNF,,,,DNF,,,,DNF,0,73.167,34.91
66,25,Honda Gakuen Honda Technical College Kanto,ホンダ学園 ホンダテクニカルカレッジ関東,81.616,2,0,85.616,72.188,1,0,74.188,94.667,13,0,120.667,92.445,18,1,148.445,0,74.188,30.9
67,E10,Toyota Technical College TokyoEV,トヨタ東京自動車大学校EV,76.033,0,0,76.033,,,,DNF,,,,DNF,,,,DNF,0,76.033,23.91
68,68,Chiba Institute of Technology,千葉工業大学,,,,DNF,,,,DNF,,,,DNF,,,,DNF,0,DNF,0.0
68,E08,Tohoku UniversityEV,東北大学EV,,,,DNF,,,,DNF,,,,DNF,,,,DNF,0,DNF,0.0
,33,Osaka Institute of Technology,大阪工業大学,,,,,,,,,,,,,,,,,,,
,57,Kyushu University,九州大学,,,,,,,,,,,,,,,,,,,
,61,Kindai university,近畿大学,,,,,,,,,,,,,,,,,,,
,63,Osaka Prefecture University,大阪府立大学,,,,,,,,,,,,,,,,,,,
,65,Meisei University,明星大学,,,,,,,,,,,,,,,,,,,
,69,Hiroshima University,広島大学,,,,,,,,,,,,,,,,,,,
,79,Tokyo Metropolitan University,首都大学東京,,,,,,,,,,,,,,,,,,,
,E05,"National Institute of Technology, Ichinoseki College/Iwate UniversityEV",一関工業高等専門学校/岩手大学EV,,,,,,,,,,,,,,,,,,,
,E06,Toyota Technical College NagoyaEV,トヨタ名古屋自動車大学校EV,,,,,,,,,,,,,,,,,,,
,E07,Kanagawa UniversityEV,神奈川大学EV,,,,,,,,,,,,,,,,,,,
,E11,Universitas Islam IndonesiaEV,Universitas Islam IndonesiaEV,,,,,,,,,,,,,,,,,,,
,E12,INSTITUT TEKNOLOGI SEPULUH NOPEMBEREV,INSTITUT TEKNOLOGI SEPULUH NOPEMBEREV,,,,,,,,,,,,,,,,,,,
,E16,Rajshahi University of Engineering & TechnologyEV,Rajshahi University of Engineering & TechnologyEV,,,,,,,,,,,,,,,,,,,
,E18,National Cheng Kung University EV,National Cheng Kung University EV,,,,,,,,,,,,,,,,,,,
,E19,National Taiwan UniversityEV,National Taiwan UniversityEV,,,,,,,,,,,,,,,,,,,
,E21,National Taipei University of TechnologyEV,National Taipei University of TechnologyEV,,,,,,,,,,,,,,,,,,,
,E22,Harbin Institute of Technology at WeihaiEV,Harbin Institute of Technology at WeihaiEV,,,,,,,,,,,,,,,,,,,
,E24,Universitas Gadjah MadaEV,Universitas Gadjah MadaEV,,,,,,,,,,,,,,,,,,,
,E25,SEIKEI UniversityEV,成蹊大学EV,,,,,,,,,,,,,,,,,,,
,E26,Nissan Automobile Technical College KyotoEV,日産京都自動車大学校EV,,,,,,,,,,,,,,,,,,,
,E27,Kanagawa Institute of Technology,神奈川工科大学,,,,,,,,,,,,,,,,,,,
