Place,Car No.,Team,Team.1,Adjusted Cost: $(Include Penalty),PriceScore,Discussion Score(Include Penalty),ScenarioScore,TotalScore
73,E06,トヨタ名古屋自動車大学校EV,Toyota Technical College NagoyaEV,45000,0.0,0.0,11.0,11.0
73,E22,Harbin Institute of Technology at WeihaiEV,Harbin Institute of Technology at WeihaiEV,45000,0.0,0.0,11.0,11.0
76,E07,神奈川大学EV,Kanagawa UniversityEV,42924,0.93,0.0,9.0,9.93
77,39,ものつくり大学,Institute of Technologists,45000,0.0,0.0,9.5,9.5
78,E26,日産京都自動車大学校EV,Nissan Automobile Technical CollegeKyotoEV,45000,0.0,0.0,9.0,9.0
79,54,静岡工科自動車大学校,Shizuoka Professional College OfAutomobile Technology,45000,0.0,0.0,8.0,8.0
80,68,千葉工業大学,Chiba Institute of Technology,37554,3.79,0.0,4.0,7.79
81,E19,National Taiwan UniversityEV,National Taiwan UniversityEV,45000,0.0,0.0,7.0,7.0
82,65,明星大学,Meisei University,34374,5.92,0.0,0.0,5.92
83,51,摂南大学,Setsunan University,41880,1.43,0.0,4.0,5.43
84,25,ホンダ学園 ホンダテクニカルカレッジ関東,Honda Gakuen Honda Technical CollegeKanto,45000,0.0,0.0,5.0,5.0
84,E21,National Taipei University of TechnologyEV,National Taipei University of TechnologyEV,45000,0.0,0.0,5.0,5.0
86,E16,Rajshahi University of Engineering &TechnologyEV,Rajshahi University of Engineering &TechnologyEV,40214,2.28,0.0,1.0,3.28
87,E24,Universitas Gadjah MadaEV,Universitas Gadjah MadaEV,45000,0.0,0.0,2.0,2.0
88,E27,神奈川工科大学,Kanagawa Institute of Technology,45000,0.0,0.0,0.0,0.0
