Place,Car No.,Team,Team.1,Score
1,E11,National Taiwan University EV,National Taiwan University EV,75.0
2,E01,名古屋大学EV,Nagoya University EV,73.25
3,E04,東京大学EV,The University of Tokyo EV,70.63
4,E05,富山大学EV,Univesity of Toyama EV,68.89
4,E12,Universitas Gadjah Mada EV,Universitas Gadjah Mada EV,68.89
6,E02,名古屋工業大学EV,Nagoya Institute of Technology EV,67.15
7,E24,京都工芸繊維大学EV,Kyoto Institute of Technology EV,65.4
8,E18,トヨタ名古屋自動車大学校EV,Toyota Mobility Engineering College Nagoya EV,58.43
9,E06,静岡大学EV,Shizuoka University EV,56.68
10,E07,横浜国立大学EV,Yokohama National University EV,53.19
11,E10,東北大学EV,Tohoku University EV,52.32
12,E19,神奈川工科大学EV,Kanagawa Institute of Technology EV,48.83
13,E13,日産京都自動車大学校EV,nissan automobile technical college kyoto EV,47.09
14,E15,福井大学EV,University of Fukui EV,46.22
15,E09,上智大学EV,Sophia University EV,44.47
16,E28,National Cheng Kung University EV,National Cheng Kung University EV,41.86
17,E08,山梨大学EV,University of Yamanashi EV,40.98
18,E14,National Yang Ming Chiao Tung University EV,National Yang Ming Chiao Tung University EV,37.5
18,E21,Institut Teknologi Sepuluh Nopember EV,Institut Teknologi Sepuluh Nopember EV,37.5
20,E16,愛知工業大学EV,Aichi Institute of Technology EV,34.88
21,E20,ものつくり大学EV,Institute of Technologists EV,32.26
21,E26,静岡理工科大学EV,Shizuoka Institute of Science and Technology EV,32.26
23,E22,東京工科大学EV,Tokyo University of Technology EV,30.52
