Place,Car No.,Team,Team.1,Adjusted Cost: $(Include Penalty B),Price Score,Discussion Score(Include Penalty A),Scenario Score,Total Score
1,E01,名古屋大学EV,Nagoya University EV,48701,7.73,40.0,16.0,63.73
2,E08,山梨大学EV,University of Yamanashi EV,27262,40.0,0.0,12.0,52.0
3,E02,名古屋工業大学EV,Nagoya Institute of Technology EV,44825,11.28,24.67,11.0,46.95
4,E04,東京大学EV,The University of Tokyo EV,41199,15.2,10.67,16.0,41.87
5,E06,静岡大学EV,Shizuoka University EV,50663,6.14,22.0,13.0,41.14
6,E24,京都工芸繊維大学EV,Kyoto Institute of Technology EV,37631,19.8,0.0,14.0,33.8
7,E07,横浜国立大学EV,Yokohama National University EV,36982,20.73,0.0,10.5,31.23
8,E05,富山大学EV,Univesity of Toyama EV,43106,13.05,6.0,11.0,30.05
9,E10,東北大学EV,Tohoku University EV,42458,13.76,0.22,15.0,28.98
10,E13,日産京都自動車大学校EV,nissan automobile technical college kyotoEV,42849,13.33,0.0,11.0,24.33
11,E18,トヨタ名古屋自動車大学校EV,Toyota Mobility Engineering CollegeNagoya EV,42173,14.08,0.0,8.0,22.08
12,E09,上智大学EV,Sophia University EV,50820,6.02,0.0,15.0,21.02
13,E15,福井大学EV,University of Fukui EV,49414,7.14,0.0,12.5,19.64
14,E21,Institut Teknologi Sepuluh Nopember EV,Institut Teknologi Sepuluh Nopember EV,42974,13.2,0.0,6.0,19.2
15,E14,National Yang Ming Chiao Tung UniversityEV,National Yang Ming Chiao Tung UniversityEV,55682,2.58,0.0,16.0,18.58
16,E11,National Taiwan University EV,National Taiwan University EV,55394,2.77,0.0,15.0,17.77
17,E19,神奈川工科大学EV,Kanagawa Institute of Technology EV,52561,4.71,0.0,10.0,14.71
18,E16,愛知工業大学EV,Aichi Institute of Technology EV,57632,1.37,0.0,11.0,12.37
19,E12,Universitas Gadjah Mada EV,Universitas Gadjah Mada EV,60000,0.0,0.0,9.0,9.0
20,E26,静岡理工科大学EV,Shizuoka Institute of Science andTechnology EV,55093,2.97,0.0,6.0,8.97
21,E22,東京工科大学EV,Tokyo University of Technology EV,60000,0.0,0.0,8.5,8.5
22,E20,ものつくり大学EV,Institute of Technologists EV,60000,0.0,0.0,6.0,6.0
23,E28,National Cheng Kung University EV,National Cheng Kung University EV,-,0.0,0.0,0.0,-30.0
