Place,Car No.,Team,Team.1,Score
1,E04,名古屋大学 EV,Nagoya University EV,150
2,2,京都大学,Kyoto University,140
3,E22,Tongji University EV,Tongji University EV,138
4,1,京都工芸繊維大学,Kyoto Institute of Technology,132
5,22,大阪大学,Osaka University,112
6,16,日本大学理工学部,"College of Science and Technology, Nihon University",110
7,14,岐阜大学,Gifu University,95
7,17,同志社大学,Doshisha University,95
9,33,東京都市大学,Tokyo City University,89
10,6,富山大学,University of Toyama,87
11,7,工学院大学,Kogakuin University,86
12,3,日本自動車大学校,Nihon Automobile College,85
12,4,千葉大学,Chiba University,85
14,18,九州工業大学,Kyushu Institute of Technology,83
14,24,トヨタ名古屋自動車大学校,Toyota Technical College Nagoya,83
14,E07,静岡大学EV,Shizuoka UniversityEV,83
17,20,神戸大学,Kobe University,81
18,32,芝浦工業大学,Shibaura Institute of Technology,79
18,E05,名古屋工業大学EV,Nagoya Institute of TechnologyEV,79
20,8,名城大学,Meijo University,75
21,51,Prince of Songkhla University,Prince of Songkhla University,73
22,38,近畿大学,Kindai University,67
22,E10,豊橋技術科学大学EV,Toyohashi University of TechnologyEV,67
24,12,東京農工大学,Tokyo University of Agriculture and Technology,66
25,10,ホンダテクニカルカレッジ関東,Honda Technical College Kanto,64
26,23,早稲田大学,Waseda University,62
26,26,東京都立大学,Tokyo Metropolitan University,62
28,13,山陽小野田市立山口東京理科大学,Sanyo-Onoda City University,61
29,E21,INSTITUT TEKNOLOGI SEPULUH NOPEMBEREV,INSTITUT TEKNOLOGI SEPULUH NOPEMBEREV,60
30,52,Khulna University of Engineering & Technology,Khulna University of Engineering & Technology,59
31,5,日本工業大学,Nippon Institute of Technology,58
31,9,茨城大学,Ibaraki University,58
33,15,帝京大学,Teikyo University,56
34,37,北九州市立大学,The University of Kitakyushu,53
34,E08,神奈川工科大学EV,Kanagawa Institute of Technology,53
34,E26,National Cheng Kung UniversityEV,National Cheng Kung UniversityEV,53
37,E02,山梨大学EV,University of YamanashiEV,52
38,29,東京理科大学,Tokyo Univercity of Science,51
38,E01,静岡理工科大学EV,Shizuoka Institute of Science and TechnologyEV,51
38,E03,東京大学EV,The University of TokyoEV,51
41,21,新潟大学,Niigata University,50
42,27,北海道大学,Hokkaido University,48
42,E16,静岡工科自動車大学校EV,Shizuoka Professional College of Automobile TechnologyEV,48
44,25,大阪工業大学,OSAKA INSTITUTE OF TECHNOLOGY,47
44,30,日本大学生産工学部,"College of Industrial Technology, Nihon University",47
44,56,Universitas Sebelas Maret,Universitas Sebelas Maret,47
47,E11,愛知工業大学EV,Aichi Institute of TechnologyEV,46
48,39,岡山大学,Okayama University,45
49,47,大阪公立大学,Osaka Metropolitan University,43
50,28,ホンダテクニカルカレッジ関西,Honda Technical College Kansai,42
51,E12,東北大学EV,Tohoku University,40
52,40,金沢工業大学,Kanazawa Institute of Technology,38
53,11,埼玉大学,Saitama University,36
53,34,立命館大学,Ritsumeikan university,36
53,50,金沢大学,Kanazawa University,36
56,35,福井工業大学,Fukui Univercity od Tecnology,35
56,44,明星大学,Meisei University,35
58,43,広島工業大学,Hiroshima Institute of Technology,32
58,E14,上智大学/青山学院大学EV,Sophia University/Aoyama Gakuin University,32
60,19,久留米工業大学,Kurume Institute of Technology,29
61,36,群馬大学,Gunma University,27
62,E09,日産京都自動車大学校EV,NISSAN AUTOMOBILE TECHNICAL COLLEGE KYOTOEV,20
63,E15,東京工科大学EV,Tokyo University of TechnologyEV,17
64,48,崇城大学,sojo university,15
65,E19,横浜国立大学EV,Yokohama National University,13
66,49,東北学院大学,Tohoku Gakuin University,11
67,41,鳥取大学,Tottori University,7
68,42,西日本工業大学,Nishinippon Institute of Technology,6
