Place,Car No.,Team,Team.1,D1 Run 1 Time,D1 Run 1 # of Cones,D1 Run 1 Adj.,D1 Run 2 Time,D1 Run 2 # of Cones,D1 Run 2 Adj.,D2 Run 1 Time,D2 Run 1 # of Cones,D2 Run 1 Adj.,D2 Run 2 Time,D2 Run 2 # of Cones,D2 Run 2 Adj.,Viocount,Best Time,Event Score
1,E04,Nagoya University,名古屋大学EV,3.672,,3.672,3.649,,3.649,4.862,,4.862,,,DNF,0,3.649,100.0
2,3,Nihon Automobile College,日本自動車大学校,4.090,,4.090,4.112,,4.112,4.130,,4.130,4.178,,4.178,0,4.09,69.1
3,51,Prince of Songkhla University,Prince of Songkhla University,4.291,,4.291,4.229,,4.229,4.169,,4.169,4.171,,4.171,0,4.169,64.26
4,20,Kobe University,神戸大学,4.179,,4.179,4.189,,4.189,4.244,,4.244,4.381,,4.381,0,4.179,63.66
5,18,Kyushu Institute of Technology,九州工業大学,4.227,,4.227,4.272,,4.272,4.256,,4.256,4.327,,4.327,0,4.227,60.82
6,22,Osaka University,大阪大学,4.447,,4.447,4.291,,4.291,,,DNF,,,DNF,0,4.291,57.13
7,4,Chiba University,千葉大学,4.307,,4.307,,,DNF,,,DNF,,,DNF,0,4.307,56.23
8,7,Kogakuin University,工学院大学,4.376,,4.376,4.392,,4.392,4.508,,4.508,4.841,,4.841,0,4.376,52.4
9,1,Kyoto Institute of Technology,京都工芸繊維大学,4.421,,4.421,,,DNF,,,DNF,,,DNF,0,4.421,49.97
10,12,Tokyo University of Agriculture and Technology,東京農工大学,4.720,,4.720,4.509,,4.509,4.476,,4.476,4.430,,4.430,0,4.43,49.49
11,17,Doshisha University,同志社大学,4.533,,4.533,4.431,,4.431,4.436,,4.436,4.472,,4.472,0,4.431,49.43
12,23,Waseda University,早稲田大学,4.840,,4.840,4.900,,4.900,4.643,,4.643,4.446,,4.446,0,4.446,48.64
13,9,Ibaraki University,茨城大学,33.457,,33.457,4.762,,4.762,4.522,,4.522,4.502,,4.502,0,4.502,45.71
14,24,Toyota Technical College Nagoya,トヨタ名古屋自動車大学校,4.727,,4.727,4.614,,4.614,4.937,,4.937,4.533,,4.533,0,4.533,44.12
15,14,Gifu University,岐阜大学,6.183,,6.183,5.666,,5.666,4.581,,4.581,4.626,,4.626,0,4.581,41.71
16,15,Teikyo University,帝京大学,4.680,,4.680,4.637,,4.637,4.891,,4.891,4.784,,4.784,0,4.637,38.95
17,6,University of Toyama,富山大学,5.306,,5.306,5.153,,5.153,4.848,,4.848,4.685,,4.685,0,4.685,36.64
18,26,Tokyo Metropolitan University,東京都立大学,4.790,,4.790,4.691,,4.691,,,DNF,,,DNF,0,4.691,36.36
19,E07,Shizuoka University EV,静岡大学EV,4.697,,4.697,4.790,,4.790,5.218,,5.218,5.513,,5.513,0,4.697,36.07
20,13,Sanyo-Onoda City University,山陽小野田市立山口東京理科大学,4.818,,4.818,4.720,,4.720,5.833,,5.833,6.586,,6.586,0,4.72,34.99
21,27,Hokkaido University,北海道大学,4.926,,4.926,4.735,,4.735,5.665,,5.665,4.786,,4.786,0,4.735,34.28
22,5,Nippon Institute of Technology,日本工業大学,4.875,,4.875,4.806,,4.806,4.901,,4.901,5.022,,5.022,0,4.806,31.02
23,8,Meijo University,名城大学,4.861,,4.861,4.922,,4.922,,,DNF,,,DNF,0,4.861,28.56
24,37,The University of Kitakyushu,北九州市立大学,5.613,,5.613,5.735,,5.735,5.044,,5.044,5.256,,5.256,0,5.044,20.76
25,E05,Nagoya Institute of Technology EV,名古屋工業大学EV,17.509,,17.509,5.173,,5.173,,,DNF,,,DNF,0,5.173,15.59
26,39,Okayama University,岡山大学,6.357,,6.357,6.214,,6.214,5.197,,5.197,6.011,,6.011,0,5.197,14.66
27,10,Honda Technical College Kanto,ホンダテクニカルカレッジ関東,5.363,,5.363,5.336,,5.336,5.323,,5.323,5.304,,5.304,0,5.304,10.6
28,E01,Shizuoka Institute of Science and Technology EV,静岡理工科大学EV,,,DNF,,,DNF,5.440,,5.440,,,DNF,0,5.44,5.67
29,16,"College of Science and Technology, Nihon University",日本大学理工学部,5.467,,5.467,5.646,,5.646,6.854,,6.854,6.351,,6.351,0,5.467,4.72
30,2,Kyoto University,京都大学,6.415,,6.415,,,DNF,,,DNF,,,DNF,0,6.415,4.5
30,28,Honda Technical College Kansai,ホンダテクニカルカレッジ関西,7.496,,7.496,,,DNF,,,DNF,,,DNF,0,7.496,4.5
30,30,"College of Industrial Technology, Nihon University",日本大学生産工学部,5.871,,5.871,,,DNF,,,DNF,,,DNF,0,5.871,4.5
30,32,Shibaura Institute of Technology,芝浦工業大学,7.417,,7.417,6.217,,6.217,,,DNF,,,DNF,0,6.217,4.5
30,38,Kindai University,近畿大学,8.474,,8.474,,,DNF,,,DNF,,,DNF,0,8.474,4.5
30,E03,The University of Tokyo EV,東京大学EV,10.186,,10.186,10.230,,10.230,,,DNF,,,DNF,0,10.186,4.5
,11,Saitama University,埼玉大学,,,,,,,,,,,,,0,,
,19,Kurume Institute of Technology,久留米工業大学,,,,,,,,,,,,,0,,
,21,Niigata University,新潟大学,,,,,,,,,,,,,0,,
,25,OSAKA INSTITUTE OF TECHNOLOGY,大阪工業大学,,,,,,,,,,,,,0,,
,29,Tokyo Univercity of Science,東京理科大学,,,,,,,,,,,,,0,,
,33,Tokyo City University,東京都市大学,,,,,,,,,,,,,0,,
,34,Ritsumeikan university,立命館大学,,,,,,,,,,,,,0,,
,35,Fukui Univercity od Tecnology,福井工業大学,,,,,,,,,,,,,0,,
,36,Gunma University,群馬大学,,,,,,,,,,,,,0,,
,40,Kanazawa Institute of Technology,金沢工業大学,,,,,,,,,,,,,0,,
,41,Tottori University,鳥取大学,,,,,,,,,,,,,0,,
,42,Nishinippon Institute of Technology,西日本工業大学,,,,,,,,,,,,,0,,
,43,Hiroshima Institute of Technology,広島工業大学,,,,,,,,,,,,,0,,
