Place,Car No.,Team,Team.1,Adjusted Cost: $(Include Penalty)(Include EV Incentive),Price Score,Discussion Score(Include Penalty),ScenarioScore,Total Score
1,1,京都工芸繊維大学,Kyoto Institute of Technology,24141,18.27,40.0,20.0,78.27
2,18,九州工業大学,Kyushu Institute of Technology,18144,31.29,25.45,19.0,75.74
3,5,日本工業大学,Nippon Institute of Technology,17708,32.58,22.34,14.0,68.92
4,2,京都大学,Kyoto University,25818,15.71,35.32,15.0,66.03
5,17,同志社大学,Doshisha University,15561,40.0,4.68,17.5,62.18
6,22,大阪大学,Osaka University,27098,13.97,28.83,13.0,55.8
7,20,神戸大学,Kobe University,18454,30.41,5.71,15.0,51.12
8,9,茨城大学,Ibaraki University,19988,26.46,12.99,9.0,48.45
9,28,ホンダテクニカルカレッジ関西,Honda Technical College Kansai,17896,32.02,0.0,13.0,45.02
10,26,東京都立大学,Tokyo Metropolitan University,16935,35.04,0.0,9.5,44.54
11,4,千葉大学,Chiba University,19470,27.72,0.0,16.0,43.72
12,21,新潟大学,Niigata University,17397,33.55,1.3,8.0,42.85
13,33,東京都市大学,Tokyo City University,18528,30.21,0.0,12.0,42.21
14,12,東京農工大学,Tokyo University of Agriculture andTechnology,20685,24.85,0.0,17.0,41.85
15,56,Universitas Sebelas Maret,Universitas Sebelas Maret,18672,29.81,0.0,12.0,41.81
16,8,名城大学,Meijo University,20264,25.81,0.0,15.0,40.81
17,E12,東北大学EV,Tohoku University,21346,23.43,0.0,17.0,40.43
18,36,群馬大学,Gunma University,19514,27.61,0.0,12.0,39.61
19,7,工学院大学,Kogakuin University,21512,23.09,0.0,16.0,39.09
20,43,広島工業大学,Hiroshima Institute of Technology,20611,25.02,0.0,14.0,39.02
21,13,山陽小野田市立山口東京理科大学,Sanyo-Onoda City University,19258,28.26,0.0,10.0,38.26
22,23,早稲田大学,Waseda University,21440,23.23,0.0,15.0,38.23
23,10,ホンダテクニカルカレッジ関東,Honda Technical College Kanto,22483,21.18,0.0,17.0,38.18
24,3,日本自動車大学校,Nihon Automobile College,24340,17.95,2.08,18.0,38.03
25,40,金沢工業大学,Kanazawa Institute of Technology,20332,25.65,0.0,12.0,37.65
26,25,大阪工業大学,OSAKA INSTITUTE OF TECHNOLOGY,20545,25.17,0.0,12.0,37.17
27,E04,名古屋大学EV,Nagoya University,45000,0.0,19.81,17.0,36.81
28,35,福井工業大学,Fukui Univercity od Tecnology,19636,27.31,0.0,9.0,36.31
29,52,Khulna University of Engineering &Technology,Khulna University of Engineering &Technology,19710,27.13,0.0,9.0,36.13
30,14,岐阜大学,Gifu University,24308,18.0,0.0,16.5,34.5
31,39,岡山大学,Okayama University,19899,26.67,0.0,7.0,33.67
32,37,北九州市立大学,The University of Kitakyushu,22766,20.65,0.0,13.0,33.65
33,24,トヨタ名古屋自動車大学校,Toyota Technical College Nagoya,22627,20.9,0.0,12.0,32.9
34,51,Prince of Songkhla University,Prince of Songkhla University,23064,20.11,0.0,12.0,32.11
35,50,金沢大学,Kanazawa University,25833,15.69,0.0,16.0,31.69
36,6,富山大学,University of Toyama,22255,21.61,0.0,10.0,31.61
37,47,大阪公立大学,Osaka Metropolitan University,20427,25.43,0.0,6.0,31.43
38,E02,山梨大学EV,University of YamanashiEV,22108,21.89,0.0,9.0,30.89
39,E03,東京大学EV,The University of TokyoEV,28835,11.85,0.0,19.0,30.85
40,44,明星大学,Meisei University,21735,22.63,0.0,8.0,30.63
41,E01,静岡理工科大学EV,Shizuoka Institute of Science andTechnologyEV,29142,11.5,0.0,17.0,28.5
42,E21,INSTITUT TEKNOLOGI SEPULUHNOPEMBEREV,INSTITUT TEKNOLOGI SEPULUHNOPEMBEREV,25996,15.46,0.0,13.0,28.46
43,27,北海道大学,Hokkaido University,22483,21.17,0.0,6.0,27.17
44,32,芝浦工業大学,Shibaura Institute of Technology,26098,15.31,0.0,11.0,26.31
45,29,東京理科大学,Tokyo Univercity of Science,26526,14.73,0.0,11.0,25.73
46,30,日本大学生産工学部,"College of Industrial Technology, NihonUniversity",25515,16.15,0.0,8.0,24.15
47,41,鳥取大学,Tottori University,21728,22.64,0.0,1.0,23.64
48,E09,日産京都自動車大学校EV,NISSAN AUTOMOBILE TECHNICALCOLLEGE KYOTOEV,25080,16.79,0.0,6.5,23.29
49,38,近畿大学,Kindai University,28708,12.0,0.0,10.0,22.0
50,34,立命館大学,Ritsumeikan university,28888,11.79,0.0,9.0,20.79
51,16,日本大学理工学部,"College of Science and Technology, NihonUniversity",33064,7.63,0.0,13.0,20.63
52,E05,名古屋工業大学EV,Nagoya Institute of TechnologyEV,35956,5.32,0.0,14.0,19.32
53,E08,神奈川工科大学EV,Kanagawa Institute of Technology,32858,7.81,0.0,11.0,18.81
54,11,埼玉大学,Saitama University,36801,4.71,0.0,14.0,18.71
55,19,久留米工業大学,Kurume Institute of Technology,29552,11.05,0.0,7.0,18.05
56,42,西日本工業大学,Nishinippon Institute of Technology,26302,15.03,0.0,0.0,15.03
57,E10,豊橋技術科学大学EV,Toyohashi University of TechnologyEV,34908,6.11,0.0,7.0,13.11
58,15,帝京大学,Teikyo University,45000,0.0,0.0,13.0,13.0
58,E07,静岡大学EV,Shizuoka UniversityEV,45000,0.0,0.0,13.0,13.0
60,E22,Tongji University EV,Tongji University EV,45000,0.0,0.0,11.0,11.0
61,E16,静岡工科自動車大学校EV,Shizuoka Professional College of AutomobileTechnologyEV,45000,0.0,0.0,10.0,10.0
62,E14,上智大学/青山学院大学EV,Sophia University/Aoyama Gakuin University,45000,0.0,0.0,6.0,6.0
63,E26,National Cheng Kung UniversityEV,National Cheng Kung UniversityEV,45000,0.0,0.0,5.0,5.0
64,E15,東京工科大学EV,Tokyo University of TechnologyEV,43461,0.75,0.0,4.0,4.75
65,48,崇城大学,sojo university,45000,0.0,0.0,0.0,0.0
