Place,CarNo.,Team,Team.1,Time,Laps,# of Cones,Off Course/Missed,Other TimePenalty,OtherPoint,Adj. Time,EnduranceScore
,41,Tottori University,鳥取大学,DNF,0,0,0,0.000,0.0,DNF,
,42,Nishinippon Institute of Technology,西日本工業大学,DNF,0,0,0,0.000,0.0,DNF,
,43,Hiroshima Institute of Technology,広島工業大学,DNF,0,0,0,0.000,0.0,DNF,
,44,Meisei University,明星大学,DNF,0,0,0,0.000,0.0,DNF,
,47,Osaka Metropolitan University,大阪公立大学,DNF,0,0,0,0.000,0.0,DNF,
,48,sojo university,崇城大学,DNF,0,0,0,0.000,0.0,DNF,
,49,Tohoku Gakuin University,東北学院大学,DNF,0,0,0,0.000,0.0,DNF,
,50,Kanazawa University,金沢大学,DNF,0,0,0,0.000,0.0,DNF,
,52,Khulna University of Engineering & Technology,Khulna University of Engineering & Technology,DNF,0,0,0,0.000,0.0,DNF,
,E02,University of YamanashiEV,山梨大学EV,DNF,0,0,0,0.000,0.0,DNF,
,E08,Kanagawa Institute of Technology,神奈川工科大学EV,DNF,0,0,0,0.000,0.0,DNF,
,E09,NISSAN AUTOMOBILE TECHNICAL COLLEGE KYO,日産京都自動車大学校EV,DNF,0,0,0,0.000,0.0,DNF,
,E10,Toyohashi University of TechnologyEV,豊橋技術科学大学EV,DNF,0,0,0,0.000,0.0,DNF,
,E11,Aichi Institute of TechnologyEV,愛知工業大学EV,DNF,0,0,0,0.000,0.0,DNF,
,E12,Tohoku University,東北大学EV,DNF,0,0,0,0.000,0.0,DNF,
,E13,Institute of TechnologistsEV,ものつくり大学EV,DNF,0,0,0,0.000,0.0,DNF,
,E14,Sophia University/Aoyama Gakuin University,上智大学/青山学院大学EV,DNF,0,0,0,0.000,0.0,DNF,
,E15,Tokyo University of TechnologyEV,東京工科大学EV,DNF,0,0,0,0.000,0.0,DNF,
,E16,Shizuoka Professional College of Automobile Technol,静岡工科自動車大学校EV,DNF,0,0,0,0.000,0.0,DNF,
,E19,Yokohama National University,横浜国立大学EV,DNF,0,0,0,0.000,0.0,DNF,
,E21,INSTITUT TEKNOLOGI SEPULUH NOPEMBEREV,INSTITUT TEKNOLOGI SEPULUH NOPEMBEREV,DNF,0,0,0,0.000,0.0,DNF,
,E22,Tongji University EV,Tongji University EV,DNF,0,0,0,0.000,0.0,DNF,
,E26,National Cheng Kung UniversityEV,National Cheng Kung UniversityEV,DNF,0,0,0,0.000,0.0,DNF,
