Place,Car No.,Team,Team.1,Adjusted Cost: $(Include Penalty)(Include EV Incentive),Price Score,Discussion Score(Include Penalty),ScenarioScore,Total Score
45,C67,Universiti Putra Malaysia,Universiti Putra Malaysia,28517,10.87,0.0,12.0,22.87
46,E11,上智大学EV,Sophia University,29585,9.8,0.0,13.0,22.8
47,C64,大阪産業大学,Osaka Sangyo University,28532,10.86,0.0,11.0,21.86
48,C55,国士舘大学,Kokushikan University,23774,16.8,0.0,5.0,21.8
49,C38,福井工業大学,Fukui University of Technology,24493,15.75,0.0,5.0,20.75
50,C39,大阪公立大学,Osaka Metropolitan University,24051,16.38,0.0,4.0,20.38
51,C60,青山学院大学,Aoyama Gakuin University,23920,16.58,0.0,3.5,20.08
52,E07,Institut Teknologi Sepuluh Nopember EV,Institut Teknologi Sepuluh Nopember EV,26561,13.06,0.0,7.0,20.06
53,C21,日本大学理工学部,Nihon University College of Science ofTechnology,25062,14.97,0.0,5.0,19.97
54,E18,ものつくり大学EV,Institute of TechnologistsEV,31003,8.49,0.0,10.0,18.49
55,C51,Harbin Institute of Technology at Weihai,Harbin Institute of Technology at Weihai,31986,7.65,0.0,10.0,17.65
56,C41,立命館大学,Ritsumeikan University,31584,7.99,0.0,9.0,16.99
57,C20,トヨタ名古屋自動車大学校,Toyota Technical College Nagoya,26660,12.94,0.0,4.0,16.94
58,C52,Kasetsart University,Kasetsart University,29496,9.89,0.0,6.0,15.89
59,C48,静岡工科自動車大学校,Shizuoka Professional College Of AutomobileTechnology Sports,29335,10.05,0.0,5.0,15.05
60,E12,神奈川工科大学EV,Kanagawa Institute of Technology,33255,6.64,0.0,7.0,13.64
61,C50,Jilin University,Jilin University,35457,5.06,0.0,8.0,13.06
62,E21,Jilin University EV,Jilin University EV,45000,0.0,0.0,13.0,13.0
63,C46,崇城大学,Sojo University,34323,5.85,0.0,7.0,12.85
64,E23,National Taiwan University EV,National Taiwan University EV,39153,2.81,0.0,10.0,12.81
65,E14,日産京都自動車大学校EV,Nissan Automobile Technical Collage Kyoto,30506,8.94,0.0,3.5,12.44
66,C59,東海大学,Tokai University,35893,4.77,0.0,7.0,11.77
67,C16,帝京大学,teikyoniversity,31667,7.92,0.0,3.0,10.92
68,E02,名古屋工業大学EV,Nagoya Institute of TechnologyEV,39674,2.53,0.0,7.0,9.53
69,E04,静岡大学EV,Shizuoka University,38319,3.28,0.0,6.0,9.28
70,E36,一関工業高等専門学校/岩手大学EV,"National Institute of Technology, IchinosekiCollege /Iwate UniversityEV",40067,2.32,0.0,3.0,5.32
71,E15,東京工科大学EV,Tokyo University TechnologyEV,44214,0.33,0.0,2.5,2.83
72,C49,Tongji University,Tongji University,45000,0.0,0.0,2.0,2.0
73,C47,東北学院大学,Tohoku Gakuin University,-,0.0,0.0,0.0,0.0
73,C57,三重大学,Mie University,-,0.0,0.0,0.0,0.0
73,C63,室蘭工業大学,Muroran Institute of Technology,-,0.0,0.0,0.0,0.0
73,E10,National Cheng Kung University EV,National Cheng Kung University EVEV,45000,0.0,0.0,0.0,0.0
73,E13,豊橋技術科学大学EV,Toyohashi University of Technology EV,45000,0.0,0.0,0.0,0.0
73,E16,横浜国立大学EV,Yokohama National UniversityEV,-,0.0,0.0,0.0,0.0
