Place,Car No.,Team,Team.1,Score
1,E01,名古屋大学EV,Nagoya University EV,75.0
2,C49,Tongji University,Tongji University,73.35
3,E07,Institut Teknologi Sepuluh Nopember EV,Institut Teknologi Sepuluh Nopember EV,72.52
4,C22,大阪大学,Osaka University,69.23
5,C01,京都工芸繊維大学,Kyoto Institute of Technology,68.4
5,E03,東京大学EV,The University of TokyoEV,68.4
7,C34,群馬大学,Gunma university,66.75
8,C06,神戸大学,Kobe University,65.93
9,C11,九州工業大学,Kyushu Institute of Technology,64.28
10,C15,山陽小野田市立山口東京理科大学,Sanyo-onoda City University,63.46
11,C17,東京都立大学,Tokyo Metropolitan University,60.98
12,C50,Jilin University,Jilin University,60.16
13,C36,金沢大学,Kanazawa University,59.34
14,C02,日本自動車大学校,Nihon Automobile College,57.69
14,C08,同志社大学,Doshisha University,57.69
16,C13,茨城大学,Ibaraki University,56.86
16,C19,早稲田大学,Waseda University,56.86
16,C55,国士舘大学,Kokushikan University,56.86
19,E09,山梨大学EV,University of YamanashiEV,56.04
20,C10,ホンダテクニカルカレッジ関東,Honda Technical College Kanto,55.21
21,C05,名城大学,Meijo University,53.57
21,C37,埼玉大学,Saitama University,53.57
21,C59,東海大学,Tokai University,53.57
24,C52,Kasetsart University,Kasetsart University,52.74
24,E04,静岡大学EV,Shizuoka University,52.74
26,C21,日本大学理工学部,Nihon University College of Science of Technology,51.92
26,C26,東京都市大学,Tokyo City University,51.92
26,C39,大阪公立大学,Osaka Metropolitan University,51.92
29,C67,Universiti Putra Malaysia,Universiti Putra Malaysia,50.27
30,C14,芝浦工業大学,Shibaura Institute of Technology,49.45
30,E21,Jilin University EV,Jilin University EV,49.45
32,E02,名古屋工業大学EV,Nagoya Institute of TechnologyEV,48.62
32,E20,富山大学EV,University of ToyamaEV,48.62
34,C09,日本工業大学,Nippon Institute of Technology,47.8
34,C27,岡山大学,Okayama University,47.8
36,E10,National Cheng Kung University EV,National Cheng Kung University EVEV,46.97
37,E14,日産京都自動車大学校EV,Nissan Automobile Technical Collage Kyoto,46.15
38,C41,立命館大学,Ritsumeikan University,44.5
38,E13,豊橋技術科学大学EV,Toyohashi University of Technology EV,44.5
40,C23,東京農工大学,Tokyo University of Agriculture and Technology,42.03
41,C48,静岡工科自動車大学校,Shizuoka Professional College Of Automobile Technology Sports,41.2
42,C28,日本大学生産工学部,"College of Industrial Technology, Nihon University",40.38
43,C35,近畿大学,Kindai University,39.56
43,C43,広島工業大学,Hiroshima Institute of Technology,39.56
45,C16,帝京大学,teikyoniversity,37.91
46,C07,千葉大学,Chiba University,37.08
46,E11,上智大学EV,Sophia University,37.08
46,E18,ものつくり大学EV,Institute of TechnologistsEV,37.08
49,C03,岐阜大学,Gifu University,35.43
49,C25,北九州市立大学,The University of Kitakyushu,35.43
49,C30,新潟大学,Niigata University,35.43
52,C04,工学院大学,Kogakuin University,34.61
52,C12,京都大学,Kyoto University,34.61
54,C18,北海道大学,Hokkaido University,33.79
54,C38,福井工業大学,Fukui University of Technology,33.79
56,C33,大阪工業大学,Osaka Institute of Technology,32.96
56,C60,青山学院大学,Aoyama Gakuin University,32.96
58,E17,愛知工業大学EV,Aichi Institute of TechnologyEV,32.14
59,C64,大阪産業大学,Osaka Sangyo University,31.31
60,C20,トヨタ名古屋自動車大学校,Toyota Technical College Nagoya,29.67
60,C31,ホンダテクニカルカレッジ関西,Honda Technical College Kansai,29.67
60,C51,Harbin Institute of Technology at Weihai,Harbin Institute of Technology at Weihai,29.67
63,E12,神奈川工科大学EV,Kanagawa Institute of Technology,28.84
64,C24,金沢工業大学,Kanazawa Institute of Technology,28.02
65,E08,東北大学EV,Tohoku University EV,27.19
66,C32,東京理科大学,Tokyo University of Science,26.37
66,E25,福井大学EV,University of FukuiEV,26.37
68,C40,明星大学,Meisei University,25.54
68,E36,一関工業高等専門学校/岩手大学EV,"National Institute of Technology, Ichinoseki College /Iwate UniversityEV",25.54
70,C44,久留米工業大学,Kurume Institute of Technology,24.72
71,E15,東京工科大学EV,Tokyo University TechnologyEV,20.6
72,E16,横浜国立大学EV,Yokohama National UniversityEV,19.78
73,C62,広島大学,Hiroshima University,18.95
74,C46,崇城大学,Sojo University,13.18
75,C47,東北学院大学,Tohoku Gakuin University,0.0
75,C57,三重大学,Mie University,0.0
75,C63,室蘭工業大学,Muroran Institute of Technology,0.0
75,E23,National Taiwan University EV,National Taiwan University EV,0.0
