Place,Car No.,Team,Team.1,Score
1,C08,九州工業大学,Kyushu Institute of Technology,75.00 
2,C07,大阪大学,The University of Osaka,74.16 
3,C12,同志社大学,Doshisha University,69.16 
4,C35,群馬大学,Gunma University,68.33 
5,C06,京都大学,Kyoto University,66.66 
6,C16,東京都立大学,Tokyo Metropolitan University,65.83 
7,C58,金沢工業大学,Kanazawa Institute of Technology,65.00 
8,C20,早稲田大学,Waseda University,64.16 
9,C04,岐阜大学,Gifu University,63.33 
9,C34,岡山大学,okayama univercity,63.33 
9,C59,沼津工業高等専門学校,"National Institute of Technology, Numazu College",63.33 
12,C03,日本自動車大学校,Nihon Automobile College,60.83 
13,C02,神戸大学,Kobe University,59.16 
14,C30,東京都市大学,Tokyo City University,58.33 
15,C15,芝浦工業大学,Shibaura Institute of Technology,55.83 
16,C05,日本工業大学,Nippon Institute of Technology,55.00 
17,C41,Kasetsart University,Kasetsart University,54.16 
18,C01,京都工芸繊維大学,Kyoto Institute of Technology,51.66 
18,C33,東海大学,Tokai University,51.66 
20,C09,東京農工大学,Tokyo University of Agriculture and Technology,50.83 
20,C14,北海道大学,Hokkaido University,50.83 
20,C17,山陽小野田市立山口東京理科大学,Sanyo-Onoda City University,50.83 
20,C18,茨城大学,Ibaraki University,50.83 
20,C37,工学院大学,Kogakuin University,50.83 
25,C47,青山学院大学,Aoyama Gakuin University,50.00 
26,C27,トヨタ名古屋自動車大学校,Toyota Mobility Engineering College Nagoya,49.16 
26,C31,大阪公立大学,Osaka Metropolitan University,49.16 
26,C55,室蘭工業大学,Muroran Institute of Technology,49.16 
29,C21,千葉大学,Chiba University,48.33 
29,C23,金沢大学,Kanazawa University,48.33 
31,C54,千葉工業大学,Chiba Institute of Technology,46.66 
32,C11,ホンダテクニカルカレッジ関東,Honda Technical College Kanto,45.00 
33,C10,Jilin University,Jilin University,43.33 
34,C19,北九州市立大学,The University of Kitakyushu,42.50 
34,C25,日本大学生産工学部,"College of Industrial Technology, Nihon University",42.50 
36,C13,日本大学理工学部,"College of Science and Technology, Nihon University",40.83 
37,C29,帝京大学,Teikyo University,40.00 
37,C42,東京理科大学,Tokyo University of Science,40.00 
37,C44,静岡工科自動車大学校,Shizuoka Professional College of Automobile Technology Sports,40.00 
40,C50,崇城大学,Sojo University.,39.16 
41,C62,Institut Teknologi Bandung,Institut Teknologi Bandung,38.33 
42,C22,立命館大学,Ritsumeikan University,37.50 
42,C24,名城大学,Meijo University,37.50 
44,C51,湘南工科大学,Shonan Institute of Technology,35.00 
45,C32,大阪工業大学,OSAKA INSTITUTE OF TECHNOLOGY,34.16 
45,C45,大阪産業大学,Osaka Sangyo University,34.16 
47,C48,明星大学,Meisei University,30.83 
47,C49,広島大学,Hiroshima University,30.83 
49,C28,ホンダテクニカルカレッジ関西,Honda Technical College Kansai,30.00 
50,C56,三重大学,MIe Univercity,29.16 
51,C38,久留米工業大学,Kurume Institute of Technology,28.33 
52,C53,鳥取大学,Tottori University,27.50 
53,C43,近畿大学,Kindai Univercity,25.83 
54,C40,広島工業大学,Hiroshima Institute of  Technology,22.50 
55,C57,豊田工業高等専門学校,"National Institute of Technology(KOSEN), Toyota College",20.00 
56,C46,福井工業大学,FukuiUniversityofTechnology,19.16 
57,C52,東北学院大学,Tohoku Gakuin University,18.33 
57,C60,Guangxi University of Science and Technology,Guangxi University of Science and Technology,18.33 
