Place,Car No.,Team,Team.1,Adjusted Cost: $(Include Penalty B),Price Score,Discussion Score(Include Penalty A),Scenario Score,Total Score
1,C01,京都工芸繊維大学,Kyoto Institute of Technology,24913,14.74 ,40.00 ,19.00 ,73.74 
2,C12,同志社大学,Doshisha University,15132,40.00 ,11.00 ,17.00 ,68.00 
3,C08,九州工業大学,Kyushu Institute of Technology,19944,24.48 ,27.50 ,15.00 ,66.98 
4,C02,神戸大学,Kobe University,20295,23.63 ,29.50 ,12.00 ,65.13 
5,C18,茨城大学,Ibaraki University,23033,17.93 ,27.00 ,11.00 ,55.93 
6,C06,京都大学,Kyoto University,25267,14.19 ,19.50 ,14.00 ,47.69 
7,C16,東京都立大学,Tokyo Metropolitan University,20271,23.69 ,0.00 ,18.00 ,41.69 
8,C05,日本工業大学,Nippon Institute of Technology,18160,29.27 ,2.50 ,7.00 ,38.77 
9,C07,大阪大学,The University of Osaka,30570,7.51 ,16.00 ,14.00 ,37.51 
10,C17,山陽小野田市立山口東京理科大学,Sanyo-Onoda City University,21869,20.18 ,0.00 ,15.00 ,35.18 
11,C34,岡山大学,okayama univercity,21338,21.29 ,0.00 ,13.00 ,34.29 
12,C15,芝浦工業大学,Shibaura Institute of Technology,21387,21.18 ,0.00 ,10.00 ,31.18 
13,C23,金沢大学,Kanazawa University,21617,20.70 ,0.00 ,10.00 ,30.70 
14,C32,大阪工業大学,OSAKA INSTITUTE OF TECHNOLOGY,21142,21.71 ,0.00 ,7.00 ,28.71 
15,C40,広島工業大学,Hiroshima Institute of  Technology,23299,17.45 ,0.00 ,11.00 ,28.45 
16,C28,ホンダテクニカルカレッジ関西,Honda Technical College Kansai,23072,17.86 ,0.00 ,8.00 ,25.86 
17,C49,広島大学,Hiroshima University,22632,18.68 ,0.00 ,7.00 ,25.68 
18,C25,日本大学生産工学部,"College of Industrial Technology, Nihon University",23034,17.93 ,0.00 ,7.00 ,24.93 
19,C03,日本自動車大学校,Nihon Automobile College,27517,11.04 ,0.00 ,13.00 ,24.04 
20,C04,岐阜大学,Gifu University,29225,8.97 ,0.00 ,15.00 ,23.97 
21,C11,ホンダテクニカルカレッジ関東,Honda Technical College Kanto,28640,9.65 ,0.00 ,14.00 ,23.65 
22,C37,工学院大学,Kogakuin University,25657,13.61 ,0.00 ,10.00 ,23.61 
23,C21,千葉大学,Chiba University,29812,8.32 ,0.00 ,14.50 ,22.82 
24,C31,大阪公立大学,Osaka Metropolitan University,28877,9.38 ,0.00 ,13.00 ,22.38 
25,C41,Kasetsart University,Kasetsart University,31784,6.29 ,0.00 ,16.00 ,22.29 
26,C13,日本大学理工学部,"College of Science and Technology, Nihon University",27924,10.53 ,0.00 ,11.00 ,21.53 
27,C46,福井工業大学,FukuiUniversityofTechnology,24526,15.36 ,0.00 ,6.00 ,21.36 
28,C45,大阪産業大学,Osaka Sangyo University,28537,9.78 ,0.00 ,10.00 ,19.78 
29,C19,北九州市立大学,The University of Kitakyushu,28596,9.71 ,0.00 ,10.00 ,19.71 
30,C42,東京理科大学,Tokyo University of Science,32383,5.72 ,0.00 ,12.00 ,17.72 
31,C48,明星大学,Meisei University,26118,12.94 ,0.00 ,4.00 ,16.94 
32,C59,沼津工業高等専門学校,"National Institute of Technology, Numazu College",29917,8.20 ,0.00 ,8.00 ,16.20 
33,C14,北海道大学,Hokkaido University,34134,4.18 ,0.00 ,11.00 ,15.18 
34,C29,帝京大学,Teikyo University,32244,5.85 ,0.00 ,9.00 ,14.85 
35,C24,名城大学,Meijo University,32882,5.27 ,0.00 ,9.00 ,14.27 
36,C38,久留米工業大学,Kurume Institute of Technology,28977,9.26 ,0.00 ,5.00 ,14.26 
37,C58,金沢工業大学,Kanazawa Institute of Technology,32934,5.22 ,0.00 ,9.00 ,14.22 
38,C10,Jilin University,Jilin University,40000,0.00 ,0.00 ,14.00 ,14.00 
39,C53,鳥取大学,Tottori University,33304,4.89 ,0.00 ,8.00 ,12.89 
40,C27,トヨタ名古屋自動車大学校,Toyota Mobility Engineering College Nagoya,33630,4.61 ,0.00 ,8.00 ,12.61 
41,C44,静岡工科自動車大学校,Shizuoka Professional College of Automobile Technology Sports,35695,2.94 ,0.00 ,9.00 ,11.94 
42,C22,立命館大学,Ritsumeikan University,34615,3.79 ,0.00 ,8.00 ,11.79 
