Place,Car No.,Team,Team.1,Score,Final
,C07,大阪大学,The University of Osaka,FINAL,Final進出
,C10,Jilin University,Jilin University,FINAL,Final進出
3,C01,京都工芸繊維大学,Kyoto Institute of Technology,136.0,
3,C12,同志社大学,Doshisha University,136.0,
5,C14,北海道大学,Hokkaido University,116.0,
6,C41,Kasetsart University,Kasetsart University,107.0,
7,C08,九州工業大学,Kyushu Institute of Technology,103.0,
8,C02,神戸大学,Kobe University,102.0,
9,C04,岐阜大学,Gifu University,98.0,
10,C21,千葉大学,Chiba University,87.0,
11,C06,京都大学,Kyoto University,86.0,
12,C23,金沢大学,Kanazawa University,83.0,
12,C24,名城大学,Meijo University,83.0,
12,C33,東海大学,Tokai University,83.0,
15,C16,東京都立大学,Tokyo Metropolitan University,80.0,
16,C18,茨城大学,Ibaraki University,79.0,
17,C13,日本大学理工学部,"College of Science and Technology, Nihon University",78.0,
18,C17,山陽小野田市立山口東京理科大学,Sanyo-Onoda City University,75.0,
19,C03,日本自動車大学校,Nihon Automobile College,74.0,
20,C37,工学院大学,Kogakuin University,66.0,
21,C34,岡山大学,okayama univercity,62.0,
22,C19,北九州市立大学,The University of Kitakyushu,61.0,
22,C62,Institut Teknologi Bandung,Institut Teknologi Bandung,61.0,
24,C43,近畿大学,Kindai Univercity,60.0,
25,C15,芝浦工業大学,Shibaura Institute of Technology,59.0,
25,C40,広島工業大学,Hiroshima Institute of  Technology,59.0,
27,C09,東京農工大学,Tokyo University of Agriculture and Technology,57.0,
27,C60,Guangxi University of Science and Technology,Guangxi University of Science and Technology,57.0,
29,C30,東京都市大学,Tokyo City University,55.0,
30,C05,日本工業大学,Nippon Institute of Technology,53.0,
30,C20,早稲田大学,Waseda University,53.0,
32,C25,日本大学生産工学部,"College of Industrial Technology, Nihon University",51.0,
33,C29,帝京大学,Teikyo University,50.0,
34,C22,立命館大学,Ritsumeikan University,48.0,
35,C11,ホンダテクニカルカレッジ関東,Honda Technical College Kanto,47.0,
36,C46,福井工業大学,FukuiUniversityofTechnology,38.0,
37,C31,大阪公立大学,Osaka Metropolitan University,34.0,
37,C42,東京理科大学,Tokyo University of Science,34.0,
37,C45,大阪産業大学,Osaka Sangyo University,34.0,
40,C49,広島大学,Hiroshima University,32.0,
41,C48,明星大学,Meisei University,31.0,
42,C35,群馬大学,Gunma University,30.0,
43,C27,トヨタ名古屋自動車大学校,Toyota Mobility Engineering College Nagoya,29.0,
44,C28,ホンダテクニカルカレッジ関西,Honda Technical College Kansai,28.0,
45,C32,大阪工業大学,OSAKA INSTITUTE OF TECHNOLOGY,27.0,
45,C38,久留米工業大学,Kurume Institute of Technology,27.0,
48,C44,静岡工科自動車大学校,Shizuoka Professional College of Automobile Technology Sports,23.0,
49,C50,崇城大学,Sojo University.,22.0,
50,C57,豊田工業高等専門学校,"National Institute of Technology(KOSEN), Toyota College",13.0,
51,C51,湘南工科大学,Shonan Institute of Technology,12.0,
,C47,青山学院大学,Aoyama Gakuin University,,
,C52,東北学院大学,Tohoku Gakuin University,,
,C53,鳥取大学,Tottori University,,
,C54,千葉工業大学,Chiba Institute of Technology,,
,C56,三重大学,MIe Univercity,,
,C58,金沢工業大学,Kanazawa Institute of Technology,,
,C59,沼津工業高等専門学校,"National Institute of Technology, Numazu College",,
